Submission ID,Contributions,How Would the Nominee Contribute as an Ambassador?,Any Additional Details
300,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A speaker at PyTorch events or workshops.",```markdown,```markdown
299,"- [x] I am **nominating myself** for the PyTorch Ambassador Program.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] Speaking at AI/ML conferences.
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
297,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] An active leader in the PyTorch community with **at least one year** of experience in:
- [x] Organizing events (virtual/in-person).
- [x] Speaking at AI/ML conferences.
- [x] Mentoring others in PyTorch.",```markdown,```markdown
296,"- [x] I am **nominating myself** for the PyTorch Ambassador Program.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] An active leader in the PyTorch community with **at least one year** of experience in:
- [x] Speaking at AI/ML conferences.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
295,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] Organizing events (virtual/in-person).
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
294,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] Organizing events (virtual/in-person).
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
293,"- [x] I am **nominating myself** for the PyTorch Ambassador Program.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] An active leader in the PyTorch community with **at least one year** of experience in:
- [x] Organizing events (virtual/in-person).
- [x] Speaking at AI/ML conferences.
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
292,"- [x] I am **nominating myself** for the PyTorch Ambassador Program.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] An active leader in the PyTorch community with **at least one year** of experience in:
- [x] Speaking at AI/ML conferences.
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
291,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] An active contributor to PyTorch repositories (e.g., commits, PRs, discussions).",```markdown,```markdown
290,"- [x] I am **nominating someone else** to become a PyTorch Ambassador.
- [x] The nominee is **18 years of age or older**.
- [x] The nominee **agrees to abide by the [PyTorch Code of Conduct](https://github.com/pytorch-fdn/Foundation/blob/main/PyTorch%20Foundation%20Code%20of%20Conduct.md)**.
- [x] The nominee **agrees to comply with the [Linux Foundation Antitrust Policy](https://www.linuxfoundation.org/legal/antitrust-policy)**.
- [x] The nominee meets **at least one** of the qualifications listed in the [PyTorch Ambassador Program Requirements](https://github.com/pytorch-fdn/ambassador-program/blob/main/README.md).
- [x] An active contributor to PyTorch repositories (e.g., commits, PRs, discussions).
- [x] A researcher or educator using PyTorch in academic work or training.
- [x] An active leader in the PyTorch community with **at least one year** of experience in:
- [x] Mentoring others in PyTorch.
- [x] Creating technical content (e.g., blogs, videos, tutorials).",```markdown,```markdown
